name	molecularFormula	adduct	precursorFormula	most specific class	level 5	subclass	class	superclass	all classifications
3256_IB2020_positive_fbmniin_lowintensity_sirius_25304	C33H58N10O5	[M + H3N + H]+	C33H61N11O5	Oligopeptides	Peptides	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities
1211_IB2020_positive_fbmniin_lowintensity_sirius_2296	C12H22N2	[M + H]+	C12H22N2	Azacyclic compounds			Azacyclic compounds	Organoheterocyclic compounds	Organic compounds; Organonitrogen compounds; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities
1677_IB2020_positive_fbmniin_lowintensity_sirius_8167	C24H45I2N7O6	[M + H]+	C24H45I2N7O6	N-acyl amines	N-acyl amines	Fatty amides	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid amides; N-acyl amines; Secondary carboxylic acid amides; Amines; Primary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
4379_IB2020_positive_fbmniin_lowintensity_sirius_37736	C31H67N7O14	[M + H]+	C31H67N7O14	Fatty amides		Fatty amides	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Monoalkylamines; Carboxylic acid amides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
4745_IB2020_positive_fbmniin_lowintensity_sirius_39420	C14H12N2O2	[M + H]+	C14H12N2O2	Benzene and substituted derivatives			Benzene and substituted derivatives	Benzenoids	Organic compounds; Organonitrogen compounds; Organooxygen compounds; Benzene and substituted derivatives; Benzenoids; Amines; Primary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1394_IB2020_positive_fbmniin_lowintensity_sirius_4153	C27H53NO7	[M + H]+	C27H53NO7	Triradylcglycerols		Triradylcglycerols	Glycerolipids	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Quaternary ammonium salts; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Carbonyl compounds; Amines; Triradylcglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
3197_IB2020_positive_fbmniin_lowintensity_sirius_24697	C17H26O6	[M + H]+	C17H26O6	Dicarboxylic acids and derivatives		Dicarboxylic acids and derivatives	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
2266_IB2020_positive_fbmniin_lowintensity_sirius_15747	C12H24O8	[M + H3N + H]+	C12H27NO8	Monosaccharides	Monosaccharides	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	Organic oxygen compounds	Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Monosaccharides; Secondary alcohols; Polyols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
2635_IB2020_positive_fbmniin_lowintensity_sirius_18373	C25H42N4O11	[M + H3N + H]+	C25H45N5O11	Secondary alcohols	Secondary alcohols	Alcohols and polyols	Organooxygen compounds	Organic oxygen compounds	Organic compounds; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Secondary alcohols; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
2635_IB2020_positive_fbmniin_lowintensity_sirius_18373	C30H42N2O9	[M + H3N + H]+	C30H45N3O9	Triradylcglycerols		Triradylcglycerols	Glycerolipids	Lipids and lipid-like molecules	Organic compounds; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Dialkyl ethers; Carbonyl compounds; Triradylcglycerols; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
2467_IB2020_positive_fbmniin_lowintensity_sirius_17450	C13H35N7O7	[M + H]+	C13H35N7O7	1,3,5-triazines		1,3,5-triazines	Triazines	Organoheterocyclic compounds	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Secondary alcohols; Amines; Alkanolamines; 1,3,5-triazines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
7427_IB2020_positive_fbmniin_lowintensity_sirius_102370	C17H30N3O4	[M + H]+	C17H30N3O4	Alpha amino acid amides	Amino acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
4185_IB2020_positive_fbmniin_lowintensity_sirius_35257	C20H36O8	[M + Na]+	C20H36O8	Carboxylic acid esters	Carboxylic acid esters	Carboxylic acid derivatives	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
4456_IB2020_positive_fbmniin_lowintensity_sirius_37837	C33H48O7	[M + H3N + H]+	C33H51NO7	Triradylcglycerols		Triradylcglycerols	Glycerolipids	Lipids and lipid-like molecules	Organic compounds; Glycerolipids; Ethers; Organooxygen compounds; Dialkyl ethers; Triradylcglycerols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
4456_IB2020_positive_fbmniin_lowintensity_sirius_37837	C27H48N4O8	[M + H3N + H]+	C27H51N5O8	Triradylcglycerols		Triradylcglycerols	Glycerolipids	Lipids and lipid-like molecules	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Triradylcglycerols; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
4963_IB2020_positive_fbmniin_lowintensity_sirius_39909	C22H46O9	[M + H]+	C22H46O9	Dialkyl ethers	Dialkyl ethers	Ethers	Organooxygen compounds	Organic oxygen compounds	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
698_IB2020_positive_fbmniin_lowintensity_sirius_984	C25H50N10O4	[M + H3N + H]+	C25H53N11O4	Aminopyrimidines and derivatives	Aminopyrimidines and derivatives	Pyrimidines and pyrimidine derivatives	Diazines	Organoheterocyclic compounds	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Pyrimidines and pyrimidine derivatives; Ethers; Organonitrogen compounds; Organooxygen compounds; Azoles; Dialkyl ethers; Aminopyrimidines and derivatives; Diazines; Substituted imidazoles; Amines; Imidolactams; Fatty Acyls; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
3958_IB2020_positive_fbmniin_lowintensity_sirius_31545	C11H22N12O6	[M + H]+	C11H22N12O6	Amino acids and derivatives	Amino acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Amines; Primary amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
2692_IB2020_positive_fbmniin_lowintensity_sirius_18459	C41H48O4	[M + H]+	C41H48O4	Diterpenoids		Diterpenoids	Prenol lipids	Lipids and lipid-like molecules	Organic compounds; Organoheterocyclic compounds; Benzopyrans; Alkyl aryl ethers; Ethers; Prenol lipids; Organooxygen compounds; Diterpenoids; Benzenoids; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
2692_IB2020_positive_fbmniin_lowintensity_sirius_18459	C34H52O9	[M + H]+	C34H52O9	Benzene and substituted derivatives			Benzene and substituted derivatives	Benzenoids	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Secondary alcohols; Benzene and substituted derivatives; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
2207_IB2020_positive_fbmniin_lowintensity_sirius_15371	C38H56N4O	[M + K]+	C38H56N4O	Benzenoids				Benzenoids	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Organonitrogen compounds; Organooxygen compounds; Benzenoids; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
3129_IB2020_positive_fbmniin_lowintensity_sirius_23418	C24H37NO4	[M + H]+	C24H37NO4	N-acyl amines	N-acyl amines	Fatty amides	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
5138_IB2020_positive_fbmniin_lowintensity_sirius_40901	C23H41N5O7	[M + H]+	C23H41N5O7	Dipeptides	Peptides	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities
5676_IB2020_positive_fbmniin_lowintensity_sirius_48353	C28H51N15O5	[M + H]+	C28H51N15O5	Benzene and substituted derivatives			Benzene and substituted derivatives	Benzenoids	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Azoles; Benzene and substituted derivatives; Amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
6866_IB2020_positive_fbmniin_lowintensity_sirius_75954	C27H57NO7	[M + Na]+	C27H57NO7	Glycerol ethers		Glycerol ethers	Glycerolipids	Lipids and lipid-like molecules	Organic compounds; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Dialkyl ethers; Secondary alcohols; 1,2-aminoalcohols; Glycerol ethers; Amines; Primary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1503_IB2020_positive_fbmniin_lowintensity_sirius_4332	C20H26O7	[M + H]+	C20H26O7	Quassinoids	Quassinoids	Terpene lactones	Prenol lipids	Lipids and lipid-like molecules	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Pyrans; Ketones; Alcohols and polyols; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Terpene lactones; Cyclic alcohols and derivatives; Secondary alcohols; Carbonyl compounds; Quassinoids; Polyols; Cyclic ketones; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Cyclohexenones; Organic oxygen compounds; Chemical entities
1890_IB2020_positive_fbmniin_lowintensity_sirius_11402	C21H38N12O6	[M + H]+	C21H38N12O6	Heteroaromatic compounds			Heteroaromatic compounds	Organoheterocyclic compounds	Organic compounds; Organonitrogen compounds; Organooxygen compounds; Amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
4912_IB2020_positive_fbmniin_lowintensity_sirius_39774	C38H84N8O10	[M + Na]+	C38H84N8O10	Alpha amino acids and derivatives	Amino acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Macrolactams; Alcohols and polyols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Secondary alcohols; Secondary carboxylic acid amides; Peptidomimetics; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
5753_IB2020_positive_fbmniin_lowintensity_sirius_49772	C15H30N2O4	[M + H]+	C15H30N2O4	Alpha amino acid esters	Amino acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Alpha amino acid esters; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Methyl esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
6166_IB2020_positive_fbmniin_lowintensity_sirius_56785	C14H28N8O4	[M + Na]+	C14H28N8O4	Dipeptides	Peptides	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities
1081_IB2020_positive_fbmniin_lowintensity_sirius_1818	C33H51NO5	[M + H]+	C33H51NO5	Fatty amides		Fatty amides	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1081_IB2020_positive_fbmniin_lowintensity_sirius_1818	C27H51N5O6	[M + H]+	C27H51N5O6	Peptides	Peptides	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1081_IB2020_positive_fbmniin_lowintensity_sirius_1818	C23H47N11O4	[M + H]+	C23H47N11O4	Aminopyrimidines and derivatives	Aminopyrimidines and derivatives	Pyrimidines and pyrimidine derivatives	Diazines	Organoheterocyclic compounds	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Imidazoles; Ethers; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Azoles; Dialkyl ethers; Aminopyrimidines and derivatives; Diazines; Substituted imidazoles; N-substituted imidazoles; Amines; Imidolactams; Fatty Acyls; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
5664_IB2020_positive_fbmniin_lowintensity_sirius_47923	C34H56N10O6S	[M + H]+	C34H56N10O6S	Dipeptides	Peptides	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities
5664_IB2020_positive_fbmniin_lowintensity_sirius_47923	C28H56N14O7S	[M + H]+	C28H56N14O7S	Peptides	Peptides	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Guanidines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Carboximidamides; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
